item,insamplesI,pop,pop2,popMORE,popK,x_coord,y_coord,village,municipality,race_1st,common_name,in_or_ex,regenerations,farmer,seedlot,pch,cobs
125,L87-4,MORE87ex,EXMORE87,MORE87,K62,-99.25333333,18.75038889,Alpuyeca,Xochitepec,ancho,ancho,exsitu,1,12,same,12,20
126,L87-5,MORE87ex,EXMORE87,MORE87,K62,-99.25333333,18.75038889,Alpuyeca,Xochitepec,ancho,ancho,exsitu,1,12,same,12,20
127,L87-6,MORE87ex,EXMORE87,MORE87,K62,-99.25333333,18.75038889,Alpuyeca,Xochitepec,ancho,ancho,exsitu,1,12,same,12,20
128,L87-7,MORE87ex,EXMORE87,MORE87,K62,-99.25333333,18.75038889,Alpuyeca,Xochitepec,ancho,ancho,exsitu,1,12,same,12,20
129,L87-8,MORE87ex,EXMORE87,MORE87,K62,-99.25333333,18.75038889,Alpuyeca,Xochitepec,ancho,ancho,exsitu,1,12,same,12,20
130,L87-9,MORE87ex,EXMORE87,MORE87,K62,-99.25333333,18.75038889,Alpuyeca,Xochitepec,ancho,ancho,exsitu,1,12,same,12,20
131,LI32-1,MORE32in,INMORE32,MORE32,K10,-98.70302778,18.86163889,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,insitu,1,1,same,0,20
132,LI32-10,MORE32in,INMORE32,MORE32,K10,-98.70302778,18.86163889,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,insitu,1,1,same,0,20
133,LI32-2,MORE32in,INMORE32,MORE32,K10,-98.70302778,18.86163889,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,insitu,1,1,same,0,20
134,LI32-3,MORE32in,INMORE32,MORE32,K10,-98.70302778,18.86163889,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,insitu,1,1,same,0,20
135,LI32-4,MORE32in,INMORE32,MORE32,K10,-98.70302778,18.86163889,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,insitu,1,1,same,0,20
136,LI32-5,MORE32in,INMORE32,MORE32,K10,-98.70302778,18.86163889,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,insitu,1,1,same,0,20
